date,type,status,body
08/05/2025,Service or Repair Issues,UnansweredMore info,"we are instructed to return our players(jplayer) after release from state after serving time for securus technologies to take security code off our players and return it to **. however most guys released don't have adequate physical address's required by securus because of displacment and alot use P.O. Boxes to insure they will get their player as not to lose it do to constant moving or placement by parole, so and exception of policy needs attention to insure securus technology won't steal hundreds of de-gradated men's players, so we need some one to look into this and complaint. To date i'm still deprived of my property ."
08/03/2025,Customer Service Issues,UnansweredMore info,My name is ******** ****** account email is ********************** and account phone number is ************ I called yall at 3:57 pm at phone number support ************ to say my account was unauthorized login and to report it to yall support to have my 54 stamps transferred back to my account because I never transferred it to the other party and the agent told me the stamps are noon refundable and I ask to transfer to a supervisor but he say I cant because no one cant help me with my issue and even a supervisor I want to report him to for refusing to allow me to talk to a supervisor and have him investigate and punishment  and I dont know his name etc.
07/26/2025,Billing Issues,UnansweredMore info,"Secures technologies is taking my money off my securus account for phone calls and e messaging that im not receiving from my loved one who's currently incarcerated. He will call me all day and not get through once. Yet im being charged for a service i am not receiving. Additionally, they are scaming their customers. I know this because my loved one who's incarcerated says that all the inmates are complaining of the same thing. I'd like the scams to stop and to be refunded, as im struggling enough as it is, and the only small comfort is my children speaking to their dad on the phone. I have additional photos but was unable to download them."
07/26/2025,Service or Repair Issues,UnansweredMore info,Today I paid $20 for texting and $10 for calling cause I didn't see where the $20 went through. When getting a call I couldn't understand a word my brother said. When I spoke it would echo everything I said while he was talking. And as far as texting nobody has shown him how to text with this system. Can't figure it out. So I just want my money back. I tried to call them and because they said they are busy they hung up on me. The online chat is a robot that can't help me with anything I've asked. Following is the confirmation number for the $20 texting. I didn't save one for the $10 phone time.
07/17/2025,Service or Repair Issues,UnansweredMore info,My son has been incarcerated since march 2025 our phone service was working well until the 9th of July 2025.  we are now getting no call at all we need this corrected this is the only way to communicate with our love one incarcerated my number is ************ I called have waited for hours and not able to talk to no one. Secures makes enough money to have this kind of technical problems. Please resolve ****. My daughter in Law ******** is having the same issue her number is ************.
07/06/2025,Service or Repair Issues,UnansweredMore info,"I have been trying to get a video visit with an incarcerated individual in ********. My video visit was blocked by the facility when I called the facility they said that it was a glitch in the systemwas securest to call them. When I call secures, I was on hold once for two hours another time for an hour and 45 minutes  time an hour and ***************************************************************************************************************** to call the facility because it was a facility denial. I called the facility and the facility said this cannot be. You are approved for in person visit. You are approved for phone visits. That meansyou are approved for video visits. Its a securest issue so once again I call securest and all they do when they do actually answer the  is give me incorrect information and I also had two people two different times hang up on me. I havent been able to get any help fromany one. They just keep ******* me off to the facility and the facility keeps telling me that its an issue with this business not with the facility. I have had probably over 20 phone calls to secure with absolutely no help whatsoever and Ive been going  this for three months."
06/30/2025,Service or Repair Issues,UnansweredMore info,"My son is incarcerated at the ***************** in ********** ***** his Tdcj number is ********. His tablet is not working he cannot make phone calls on it. I pay a lot of money to Securustech every week to to be able to talk to my son, but yet every time theres a problem they want to pass the buck to the Prison or someone else theyre never responsible and Im sick of it. They have got to be responsible. Im the one paying them. Im paying them Im paying security. Im not paying the Prison and I want something done about immediately. He needs a new tablet and itll take six months going through the process and I paid a lot of money for all this stuff and I want something done about it immediately, and I want to tech put on notice because theyre not doing what their job supposed to be. Theyre collecting all the money and not doing any maintenance or doing anything just collecting the money from victims like me"
06/24/2025,Billing Issues,UnansweredMore info,On June 20th I was given the wrong account to deposit money into my nephews food account at *********************.  I deposited 50 dollars into this Securus account in error.  The same day when I found out it was the wrong account I created a ticket to get my refund.  They did respond but I have heard nothing from these people have 3 follow up emails.
06/17/2025,Billing Issues,UnansweredMore info,"I am requesting a refund for services purchased through Securus Technologies that I could not use. On June 15, 2025, I paid $30.31 to send eMessages and credits to my stepfather, who is incarcerated in a maximum-security facility.I was not informed before or during the transaction that he does not have access to a tablet or to the eMessaging system at all. Messages were marked as sent, but he never received them and could not respond. I later found out he likely cannot use a tablet without having money on his books, or possibly lost privileges entirely  but none of this was disclosed before I paid.Securus allowed me to add him as a contact, buy credits, and send messages without warning me that this service would be completely unusable. No one from their customer ********************** team responded, and their phone support system does not allow speaking to a live person.I am requesting a full refund of $30.31 for the undelivered service. Securus failed to provide clear information and misled me into paying for a service that could not be used."
06/13/2025,Product Issues,UnansweredMore info,"The dates of the transaction are unknown as the company (Securus/ ****) has this information in their log (database). It&#**;s been years but here&#**;s the catch. Those purchases were working fine until they had all the tablets collected through-out the Florida Prison Institutions, in order to issue updated tablets with orange casing around it. This happened around the summer of 2024. By February of 2024, I was given my updated tablet and had to re-download all my previous purchases. 3 of the songs didn&#**;t download properly and were switched with 3 songs I did not purchase or want. These songs totaled up to about $6. Also, at least 3 of my previously purchased games would not download and an additional 3 of my games were replaced by them in error with three games I didn&#**;t purchase or want. This totals up to an additioanl $36 . They have only provided me with excuses no resolution. Basically, saying they are sorry for the inconvenience but won&#**;t provide a refund/ store credit."
06/10/2025,Service or Repair Issues,UnansweredMore info,"The number I've given is the receipt number for a $20 payment made today. The photo is of my last two payments which have gone ignored. That equals $50. I pay to speak with an incarcerated loved one and the Securus system is not acknowledging my payments. It is also impossible to speak with a live person at this company.  No help or acknowledgement is given at all. I will no longer try to send money until this is resolved. Securus tells me there is no money on the account which is a lie. This indicates a faulty system and an owner who is inept and disinterested or a theif. I wish to have a resolution to this matter either with a refund of my last 3 transactions, or an acknowledgement that the money is there to be utilized."
06/02/2025,Product Issues,UnansweredMore info,On May 2nd 2025 I placed 20 dollars on an account with ******************. It is phone service for inmates.. only to find out that the facility my son is being housed in doesn't use this service. They refuse to refund my money and I would like a refund because I will never be able to use that money.
05/28/2025,Service or Repair Issues,UnansweredMore info,I can't add funds to my daughter's account because the system doesn't recognize the Canadian postal code! The system says my address is wrong! And it is IMPOSSIBLE to speak to a human! No one has responded to my email.
05/25/2025,Service or Repair Issues,UnansweredMore info,5/24/25 contacted *** as to why I was unable to buy stamps to message a loved one or even get  visit on-site with loved one. My account is locked from old charges back in 2020. For disputed charges on a card card.  I ask *** for number to co tact and get detailed in fo because I had used a p***aid card. I was advised that I could go online but couldn't speak with anyone live. To resolve account. This is the first time I had heard of anyone this. No calls no emails ect . Now I am being blocked from any contact and refused contact with billing to unlock my account to visit a loved kne in jail. This is unfair and unconstitutional to deny contact with a loved one over a account that they can't speak to me about it's pay or don't visit . That's like if you can't pay then we hold your family hostage an blackmail ect. Noone should have to pay to see  loved one since when did this become a practice anyway. With money s tight anyway. It's unethical.
05/23/2025,Delivery Issues,UnansweredMore info,"I would like to file a complaint against H3237373538**35373632H, a company based out of *****.  Securus holds a contract with the state of Missouri to supply media tablets to inmates in ******** ***** of H3336323638**38333736Hions (Mo. DOC).   The tablets has phone, mail and email, law library, both education and rehabilitation etc. etc.  Securus also sells music and games. Securus original ""user agreement"" prior to 8/23/23 gave had a full refund if music/games were removed for any reason.  Securus new ""user agreement""  has no refund. ********************** gave no warning that the prior agreement would be stopped, not did they make provision to not accept the new ""user agreement,"" if you didn&#**;t accept the new ""user agreement"" you couldn&#**;t access your previously purchased music or games.  Furthermore when I complained bout the new agreement to a Securus representative on 8/25/23.  He removed the tablet leaving me no access to purchase items, I feel the canceling of the user agreement, and the removal of tablet, should entitle me to a full refund under the ""user agreement"" in effect when I made the purchases.Securus purchased ***** or the subsidiary that had the contract for ******.  In the transition 15 to 20% of music was lost.  Securus restored or reimbursed about 1.2 to most offenders, myself and most others let the rest go.  In early 2023 Securus changed the application for their ""media store,"" and in doing so lost 25 to 50% of music but oddly not games.  Securus tried for months to restore lost music with little to no success.  I feel Securus didn&#**;t want to refund 2 or more millions of songs and albums costing millions of ********** per Securus original ""user agreement"" I contacted their legal department 4 times in an attempt to resolve this dispute, Securus will not respond to my request as was outlined in their ""user agreement."""
05/18/2025,Billing Issues,UnansweredMore info,"I cannot buy stamps to email my friend who is at the women's **************** in *************. They said the company that does the credit cards and debit cards has blocked my card, I do not owe Securus any money, I have enough money in my account to pay for buying stamps. They have discriminated against me, because I am a senior citizen"
05/16/2025,Service or Repair Issues,UnansweredMore info,"Securus technology app doesn't work properly. It directs you to automated phone service. It takes me through a very long process of listening to their story. Then when I finally get to my account options, I can only add funds, I can't verify my balance which states that my account is active and fined with $18. However I received an automated call from them stating that I only have $5 as of Midnight 5/15/25. When I attempted to add funds, it collects alot of information but goes totally silent when I select the amount of funds I want to deposit. Silence, no way to other assistance. I have even tried their Chat--directed me right back to the beginning. Then error message that doesn't apply to me. After going through this process for 5 days."
05/15/2025,Service or Repair Issues,UnansweredMore info,"So the securus man who goes to the jails to pass out tablets to the imates is very rude to them ,he does a half a** job he only comes on Thursday half of them dont have a tablet and its been almost 2 weeks just imagine sitting in a jail with no tablet allday when all there was to do was transfer 1 tablet to the new one my brother has been having issues with this securus guy there is no way he has to be rude and mean to imates thats already locked up its unprofessional and I want to speak to someone regarding it"
05/15/2025,Service or Repair Issues,UnansweredMore info,On May 14 2025 I received a call from the county sheriff where I was prompt to add my credit card to complete the call. Once I finished inputting my information the operator say Caller hung up. Without ever being able to speak to my wife. Following that a charge of $42.94 was deducted from my account and placed on pending. This charge has literally just been sitting there preventing me from being able to go to the grocery store as that transaction let me with $6dollars. So now my self and daughter are stuck with literally hotdogs no bread and nothing to cook. I've reached out through the phone service several times to no avail. I've emailed them and I haven't even received any type of confirmation. As to what happened or whats going on. When I listen to the operator it says they nolonger take payments over the phone. So why did it prompt me to pay yet alone there wasn't a call after the setup as the I was informed the caller hung up. I will also like to add that there is literally no way to reach a real person.  If I had know that I'd never use the service. Because in cases of error it takes an act of congress just to get your money back. There are transactions that occurred after which have left the pending status but this is lingering and for no reason.
05/15/2025,Billing Issues,UnansweredMore info,"05/14/2025 I was attempting to purchase a single phone call only and the company charged ***** to my account for a ******* subscription. I do not need a 3-month subscription. my family member was arrested for an unpaid ticket and was out in 1 day. I have called them multiple times, and the agents hang up on me and refuse to assist."
04/30/2025,Service or Repair Issues,UnansweredMore info,"I am filing this complaint against Securus Technologies and its subsidiary **** regarding an ongoing issue that has unjustly blocked my family from supporting and communicating with my incarcerated brother.Due to an honest mistake, my elderly grandmother  who has dementia  accidentally closed the checking account used to send $100 to my brother's JPay account. Upon realizing the error, my grandmother and mother repaid the funds in full via MoneyGram.Despite this, Securus/**** has permanently flagged my brothers account, and weve been informed there is no option to appeal this decision. As a result:We cannot add money to his commissary or tablet account;We cannot purchase stamps to message him through the app;The money we repaid has not been credited to him;This flag has now cut off all digital support and communication with our loved one.This decision feels unfair, excessive, and inflexible, especially considering the mistake was made due to a medical condition, and repayment was made in good faith.We respectfully request that Securus and JPay:Lift the permanent flag or offer an appeals process;Credit the repaid $100 to my brothers account;Restore our ability to fund his commissary and communicate through their platforms.This situation has caused significant emotional distress to our family. We are simply trying to maintain a line of support and communication with a loved one during a very difficult time."
04/24/2025,Service or Repair Issues,UnansweredMore info,"My fiancee is incarcerated, his tablet has been broken for 4 months. He has gone through the process of asking for replacement tablet numerous times and still has not gotten one. I was told by the prison that they are short 500 tablets just for their prison and Securus has not been providing tablets like they should be for replacements. My loved one who is incarcerated is on complete lockdown and has minimal time out of his cell to make calls so he is not able to keep in contact with his family. It has become a hardship for him and his family."
04/12/2025,Billing Issues,UnansweredMore info,"Hello, I have been trying for multiple days now to add funds to an account with no success getting error messages each time on the app and online. I made a call 4/9/25 where I was able to add $25 on said call disconnected then tried to call back to add more and that was followed by another error message. I've called my bank they've advised they don't even see this transaction being attempted on their end. My uncle is without funds and has called me multiple times now collect knowing that he does indeed have $25 on his phone, and he cannot see it. I am very disappointed in the services. I recognize this may not matter to anyone there, but I can assure you that it does indeed matter to those of us who care about those humans, men, grandfathers, fathers, husbands, cousins, brothers, sons, uncles who are sitting waiting on funds to be added to call someone they love or for someone out here waiting on that call to make sure they're making it through another day. I for one cannot believe that I have called a myriad of times over the last three days and haven't been able to speak to a single human on your their end and continuously get hung up on by the automated system. This entire experience has been horrific. The only thing Im expecting here is that they fix the tablet and ability to add money on the inmates phones theyre a technology communications firm and yet we cannot use them to communicate with the clients theyre supposed to serve or even add money to their phones to function. How does this make any sense. Im simply trying to add funds to my loved ones account so he can call us. They didnt alert us of any issues. They didnt have a notice sent out. My uncle isnt the only one unable to get funds added its a few inmates and to say Im frustrated and disappointed is an understatement at this point. I advised them via email and a PM via X that I needed a call today and there wasnt a call so this is a last resort. Id also like the collect calls credited."
04/09/2025,Billing Issues,UnansweredMore info,"Dates: 4/8/25, 4/9/25 I received a call from an inmate. I followed the prompts from Secures tech to enter my credit card. They said I would be charged 7cents per minute that I was on the phone. I went through a lengthy process and when I finished everything they discontinued the call without letting me speak to the inmate and still charged me $1.20. This happened 3 times. I was charged three times without ever being able to speak to the inmate. This is a stressful time given a loved one is incarcerated and this adds to the stress not being able to talk to him."
04/08/2025,Service or Repair Issues,UnansweredMore info,I've been sending money to an inmates account using ****************** for 10 years without a single problem. After 10 years of using the same card securus DECLINED my card. Without reason or recourse. Now they want me to pay a 3rd party to send money to securus so I can also pay securus money as well to put money on my brother's account!!! WITHOUT RECOURSE OR REASON WHY THEY DECIDED TO DECLINE A CARD THEY HAVE ACCEPTED FOR 10 YEARS!!!!!
04/02/2025,Customer Service Issues,UnansweredMore info,I have purchased stamps to send messages to my incarcerated love one. Some of the messages sent to my love are not received on his end and I do not receive messages on my end. The facility does not offer the option to speak with a live person. I sent them several messages requesting for assistance. They reply with a ticket number but the issue is never resolved and they never replied with any further communication.
03/27/2025,Product Issues,UnansweredMore info,please see complaint in attachment
03/26/2025,Service or Repair Issues,UnansweredMore info,I scheduled a visit for my son for March 1st and paid for it. On march first We waited 30 min and never did any video come on. The visit never happened. Here is the info for that visit. Appointment ID: ********* Date: 2025-03-01 Time: 10:00:00 With: *********** ***** Duration: 20 minutes Prepaid Securus Video Connect Session Cost:Session Price: $4.95 Tax: $0.00 LESS: Credit Used: $(4.95)Transaction Fee: $0.00 I filed several emails requesting a refund then started using a different part of there website so I had proof. Case #******** and Case #********  They have not refunded me my money more responded to any request. They do not have an active agent phone number to call just pre recorded. On  March 21st I sent my son a letter there system when I hit send *** sorry there was an error so I did it again. It actually sent the same letter 2 times charging me 4 stamps I requested 2 stamps too be returned. They again haven't given me back stamps. This company is just ripping people off with no way of getting our money returned. I do not want a credit to my account as Im done using there video service. I how ever do want my 2 stamps credited.
03/22/2025,Service or Repair Issues,UnansweredMore info,"Hello, The nature of the complaint is that I had a situation which occurred where JPay intercepted $300 from my bank account back on the week of 10/11/24. The inmate did not receive the money and **** denied taking the payment from my account but my bank saw the withdraw.**** blocked my a count and the inmates account until I paid around  $324. I was told that bank account could not be used again and my card was blocked. So I use another bank to send money to the inmate. The issue is that Securus Technologjes had nothing to do with JPay so Securus has taken it upon themselves to permanently block me from using any debit  cards on my account and making me use moneygram whi h costs $4.99 to send money and then the money is not being uploaded to my phone account until 2-3 days later which is so unfair and an inconvenience.I have attempted twice which includes today, contacting Securus Technologies requesting the block to use debit cards be removed, and all they continue to tell me is that there is nothing they can do, it is the processing center which I have to report."
03/21/2025,Product Issues,UnansweredMore info,see attachements Click here to Get the File - use the Password: 06219423 ************************************************************************
03/20/2025,Service or Repair Issues,UnansweredMore info,"My husband is incarcerated in the New York prison system, I send money to securus technologies, so, that I can receive phone calls from his facility. Starting in January of 2025, I was not longer able to receive calls. I have contacted the company, and, there are no technical issues for why I can no longer get calls, nor are there any restrictions. I am requesting securus technologies refund the balance of my account."
03/15/2025,Service or Repair Issues,UnansweredMore info,"I schedule a 30 minute visit with my grandson it holds the visit and my grandsons children wait patiently for the visit, a day before and even this Friday march 14th 2025 5 hours before the visit they canceled it. Send and email blaming the correctional facility. Which I. Have called several times and spoke to the facility and they become upset that they are being  blamed by securus for dropping the visit. Which the jail says they have no control of liver securus. Which I have to hurry to get another spot. Which sometimes its a week out because everyday it says sorry we are having technical difficulties. This causes so much pain and hurt on families when this company does this and you can't talk to a human e mails are never answered I constantly check my app and website to monitor my visit but I also work full time and can't always see my phone. But then tears fall when the visit gets canceled and this is everytime I schedule one and every time it get canceled by securus not the facility. Why offer this service if you can't visit on days thay fit daily life, or when u log on to see they canceled it 5 hours before the visit this company is not right"
03/13/2025,Billing Issues,UnansweredMore info,"on 01/24/2025 i accidentally placed $70.00 on media for my incarcerated inmate but i didn't understand that this category does not go to his main spending account. In order for that I would have to go through ****. My first concern is that on securus technology app, it doesn't describe what all is incorporated in ""MEDIA"" so that i can clearly know that would not what i should be selecting. well i accidentally did, and i called right away and requested a refund. they told me they placed a ticket and it can take up to 30days. so i call a few weeks later and they say it can take up to 30 business days and then i call on 03/07/2025 and they said they still cant help me but they can have a *** call me. so i said ok and they call me on Monday 03/10/2025 to tell me that they are not going to refund me my $70 that I've been waiting like 42 days for them to refund me. so i called my inmate and on march 10th 2025 he said he make a call and it went a little longer then usual so it ate some change into the $70 portion on march 10th 2025, they day they finally decide to call me. so i asked the securus technology *** when he used it because I've been calling to have them work on this refund and they said they couldn't tell me when he used change into the $70.00, that is because it was that exact day they called me that he dipped into the funds, even still they could return the $69 and change back to me! I mentioned it would be different if this was the first time this has ever happened but its the second time! both refund requests went outside the time frame and i kept calling on that too. they told me the same thing. my concern is if they just processed it in time i would not run into these issues. especially if the category, listed what is entailed in media. or a hint saying this doesn't fund the main spendable account. seems unethical and like they are finding a way to deny claims by taking a long time intentionally to not benefit the person requesting a refund."
03/12/2025,Service or Repair Issues,UnansweredMore info,"I have had Securus since 2018. For some reason I cant seem to use my card to add money I go through money gram. Money gram seems to be ok with my debit card but Securus seems to have a problem. And all they say is we use a third party vendor. But now we can email but you can only use the debit card that it wont allow me to use. So my husbands jail is in strike, and I cant get any stamps to purchase because they keep saying third party vendors. They are the only third party vendor who seems to have purchasing issues. My husband is in a jail and the entire state is striking. The customer ********************** for IT IS HORRIBLE. Or billing issues And not only that my husband received a new tablet as did everyone. Two weeks ago and guess what no sound he cant swipe. We sent a ticket in and they will tell us trouble shoot.and wait another two weeks but again the jails are on strike. The customer ********************** **** are nice but they cant help with it or with billing or with broken tablets but I have sunk thousands into Securus can some one please help so I know my husband is safe."
03/11/2025,Billing Issues,UnansweredMore info,"Secures took my stamps off my account. They took my money off my bank account for more stamps and refuse to five me the stamps. Customer ********************** response was, lets wait and see what happens."
03/10/2025,Billing Issues,UnansweredMore info,"I put $25 on my sons account in jail and Im still being charged whenever he calls me!! Securus did not connect the money to his account in jail so he cant call me without me having to keep paying I want refund and I cant get a hold of a person on the line. I even called the corporate office and nobody answers. This is wrong and so many levels!!! I still cant get a refund because the website doesnt give me that option online, this is a rip off something needs to be done!!"
03/08/2025,Service or Repair Issues,UnansweredMore info,"Complaint against Securus Technologies due to their unethical business practices, failure to provide services as paid for, refusal to issue legitimate refunds, and unjustified restriction of my account access. Their actions have caused financial loss, undue stress, and wrongful denial of communication with my loved one.Securus charged me for a video visit that did not work (no audio, no video).I followed their complaint process for a refund, but they failed to respond for over two weeks.After their inaction, I contacted my bank to dispute the charge, and in retaliation, Securus restricted my account access and denied me the ability to communicate with my loved one.2. Detailed Timeline of Events February 17, 2025  Technical **************** Request On February 17, 2025, I paid for a video visit with my loved one through Securus Technologies. However, the visit never took place due to serious technical difficultiesthere was no audio and no video throughout the session. I immediately contacted Securus Customer Support, and they informed me that I needed to submit a formal complaint to request a refund. I followed their instructions, but two weeks passed with no response from Securus.Due to their failure to address the issue or issue a refund in a timely manner, I notified my bank of the problem and provided documentation of my complaint to Securus.March 1, 2025  Second Refund Request for a Missed Visit On March 1, 2025, I had another video visit scheduled with my loved one. However, my loved one was taken to court and had not returned to the facility in time for the session. I immediately contacted Securus to inform them of the situation and request a refund.The customer ********************** representative I spoke with acknowledged my concern and assured me that a refund would be processed after the session ended since the visit was still marked as ""active"" in the system. However, no refund was issued despite their promise."
03/04/2025,Billing Issues,UnansweredMore info,"So aside from the regular issues like the phones constantly cutting out, visitation rarely working and connection problems on the tablets, on the same morning my subscriptions for both the tablet *$8.50"" and music *$17.99* were paid the tablet suddenly stopped turning on. I sent it in for repair and they just disabled my account and said I could sign in to a new one. Well this didn't work until after my subscriptions were expired which means that literally an entire month of two subscriptions got lost. No one could help and they have kept my money."
03/02/2025,Billing Issues,UnansweredMore info,I was charged twice the amount of stamps for 1 emessage before Securus's website glitched out or something not allowing me to send the message to my brother stating my message could not be sent at this time and instead logged me out of my account. The emessage I was tried to send only added up to 7 stamps and I had a total of 30 stamps on my account which should have let me with 23 stamps. I logged back into my account which i still had 30 stamps and my message was saved as a draft. I tried to send my emessage again and this time my emessage sent but Securus's website duplicated the emassage and sent it twice using ******************************************************************************************************************************************************************* to call back. I sent a message through their 'Submit a Question' through their contact us page but have not heard back from anyone.
